Questions,class
problem  account fact acetic acid ch  stronger acid water methanol  equilibriumchapter  reactivity organic  right doesthis difference could result ch  weaker base   however might case significant difference arises solvation ion water solvate ion better methanol thus equilibrium shifted toward right form ion solvated water,chemistry
problem  refer fig  enthalpy diagram reaction  state    represent  reaction exothermic endothermic  ratedetermining step    substance  ever isolated mixture  represents activation enthalpy overall reaction  fis step  reversible   transition state  intermediatebsince overall product  lower energy reactant reaction exothermic cthe ratedetermining step one higher enthalpy activation  bdyes activation enthalpy needed  get transition state  may high  stable enough isolatedethe hàis represented difference enthalpy reactant higher transition state  fthe hàfor  ai le hàfor   therefore  return easily go  step  fast reversible reaction progressenthalpy   chapter  alkane openchain acyclic hydrocarbon constituting homologous series general formula  integer single bond therefore said saturated,chemistry
problem  use superscript  indicate different kind equivalent  atom propane ch   replace one kind  ch   many isomer butane  exist   nbutane isobutane,chemistry
problem  use superscript  indicate different kind equivalent hõs,chemistry
problem  staggered eclipsed conformation one possible ethane  indi cate preferential conformation ethane molecule room temperature  conformational change occur temperature rise rotation cc bond ethane really òfreeóano infinite number energy staggered eclipsed conformation simplicity concerned conformation minimum maximum energy bthe staggered form minimal energy hence preferred conformation cthe concentration eclipsed conformation increase dthere energy barrier  kjmol enthalpy activation one staggered conformation pas eclipsed conformation give another staggered conformation therefore rotation sigma   bond ethane somewhat restricted rather òfreeó,chemistry
problem  many distinct compound following structural formula represent chapter  eclipsedstaggeredstaggeredangle rotation dihedral  kjmoleclipsedfigure  figure  trace energy conformation one ch  ethane rotated      conformation compound becomes obvious longest chain carbon case six written linear fashion represents different compound,chemistry
problem  following compound exist different conformation,chemistry
problem  explain fact calculated entropy ethane much greater experimentally determined value calculated value incorrectly assumes unrestricted free rotation conformation equally probable since molecule ethane staggered conformation structural randomness le calculated actual observed entropy le discrepancy led concept conformation different energy figure  show extreme conformation nbutane two eclipsed conformation ii least stable totally eclipsed structure eclipsed ch  higher energy ii ch  since three conformation staggered energy minimum stable conforma tions conformers butane anticonformer ch  farthest apart lowest energy stable constitutes numerous form butane molecule two higherenergy staggered gauche conformers  closer stable antiformpotential energy kj mol rotationdegrees    gauche,chemistry
problem  give two factor account resistance rotation highenergy eclipsed conformationtorsional strain arises repulsion bonding pair electron greater eclipsed form electron closer steric strain arises proximity bulkiness bonded atom group atom strain greater eclipsed form group closer larger atom group greater steric strain,chemistry
problem  relative population eclipsed staggered conformation depend energy difference greater energy difference population staggered conformer exceeds eclipsed,chemistry
problem  draw graph potential energy plotted angle rotation conformation  dimethylbutane   point factor responsible energy difference start conformer pair ch  anti write conformation resulting successive ro tations central bond  shown fig  structure iv pair ch  eclipsed highest energy structure ii vi next highest energy one pair eclipsed ch  stable conformers energy minimum iii  structure pair ch  lowest energy structure iii  one pair ch  antiand one pair gauche ba shown fig   conformation decreasing order energy  xi eclipsing ch   ch    ch  gauche  xii pair   alkane letter nfornormal nbutane denotes unbranched chain  atom prefix isoiindicatesa  second  end example isopentane chapter  group methyl ch  ethyl  derived removing one  alkane prefix sec tert name group indicate  removed secondaryortertiaryc respectively secondary  bond two cõs tertiary three cõs primaryeither three hõs two hõs onecthe hõs attached type carbon atom also called primarysecondary    respectively quaternary  bonded four cõs letter  often used represent alkyl group,chemistry
